,Affix,Root Word,Full Word
395,ical,pedant,pedantical
396,ical,pedology,pedological
397,ical,penology,penological
398,ical,period,periodical
399,ical,periodontology,periodontological
400,ical,personology,personological
401,ical,pestology,pestological
402,ical,petrology,petrological
403,ical,phagocyte,phagocytical
404,ical,phantasmology,phantasmological
405,ical,pharmacology,pharmacological
406,ical,pharyngology,pharyngological
407,ical,phenology,phenological
408,ical,phenomenon,phenomenical
409,ical,phenomenology,phenomenological
410,ical,philately,philatelical
411,ical,philology,philological
412,ical,philosophy,philosophical
413,ical,phoneme,phonemical
414,ical,photology,photological
415,ical,phraseology,phraseological
416,ical,phycology,phycological
417,ical,phylactery,phylacterical
418,ical,phylosophy,phylosophical
419,ical,physiognomy,physiognomical
420,ical,physiography,physiographical
421,ical,physiopathology,physiopathological
422,ical,phytocoenology,phytocoenological
423,ical,Pindar,Pindarical
424,ical,planet,planetical
425,ical,planetology,planetological
426,ical,planktology,planktological
427,ical,plethysmography,plethysmographical
428,ical,pneumatology,pneumatological
429,ical,pneumology,pneumological
430,ical,poetaster,poetastrical
431,ical,pomology,pomological
432,ical,pornology,pornological
433,ical,posology,posological
434,ical,praxiology,praxiological
435,ical,prelate,prelatical
436,ical,primate,primatical
437,ical,primatology,primatological
438,ical,proctology,proctological
439,ical,prosopography,prosopographical
440,ical,protistology,protistological
441,ical,prototype,prototypical
442,ical,psephology,psephological
443,ical,psychology,psychological
444,ical,psychoneuroendocrinology,psychoneuroendocrinological
445,ical,psychopathology,psychopathological
446,ical,psychopharmacology,psychopharmacological
447,ical,pteridology,pteridological
448,ical,pulmonology,pulmonological
449,ical,pulpit,pulpitical
450,ical,pundit,punditical
451,ical,purist,puristical
452,ical,puritan,puritanical
453,ical,pyramid,pyramidical
454,ical,pyramidology,pyramidological
455,ical,pyrite,pyritical
456,ical,quagmire,quagmirical
457,ical,quinology,quinological
458,ical,quiz,quizzical
459,ical,quodlibet,quodlibetical
460,ical,raciology,raciological
461,ical,reflexology,reflexological
462,ical,retinology,retinological
463,ical,retrovirology,retrovirological
464,ical,rheology,rheological
465,ical,rhetography,rhetographical
466,ical,rhetology,rhetological
467,ical,rhinoceros,rhinocerical
468,ical,rhinology,rhinological
469,ical,rhizology,rhizological
470,ical,rhyme,rhymical
471,ical,rickettsiology,rickettsiological
472,ical,roentgenology,roentgenological
473,ical,romance,romancical
474,ical,Romanology,Romanological
475,ical,runology,runological
476,ical,saccharimetry,saccharimetrical
477,ical,sarcology,sarcological
478,ical,Satan,Satanical
479,ical,Satan,satanical
480,ical,satire,satirical
481,ical,satyr,satyrical
482,ical,scatology,scatological
483,ical,scene,scenical
484,ical,sciagraphy,sciagraphical
485,ical,Scientology,Scientological
486,ical,scientometry,scientometrical
487,ical,sciolist,sciolistical
488,ical,sedimentology,sedimentological
489,ical,seismology,seismological
490,ical,selenite,selenitical
491,ical,selenology,selenological
492,ical,semasiology,semasiological
493,ical,sematology,sematological
494,ical,semiology,semiological
495,ical,Semitology,Semitological
496,ical,Senate,Senatical
497,ical,sense,sensical
498,ical,separate,separatical
499,ical,sermon,sermonical
500,ical,serology,serological
501,ical,sexology,sexological
502,ical,sindonology,sindonological
503,ical,sine,sinical
504,ical,sinology,sinological
505,ical,siren,sirenical
506,ical,sociobiology,sociobiological
507,ical,sociography,sociographical
508,ical,sodomite,sodomitical
509,ical,somnology,somnological
510,ical,sonology,sonological
511,ical,sophrology,sophrological
512,ical,Sorbonne,Sorbonical
513,ical,soteriology,soteriological
514,ical,speleology,speleological
515,ical,spermatology,spermatological
516,ical,sphagnology,sphagnological
517,ical,spheroid,spheroidical
518,ical,sporology,sporological
519,ical,stalactite,stalactitical
520,ical,stemmatology,stemmatological
521,ical,stenotype,stenotypical
522,ical,stereology,stereological
523,ical,stereotype,stereotypical
524,ical,stichometry,stichometrical
525,ical,stoichiology,stoichiological
526,ical,stomach,stomachical
527,ical,stomatology,stomatological
528,ical,strabismology,strabismological
529,ical,stratagem,stratagemical
530,ical,strophe,strophical
531,ical,suicide,suicidical
532,ical,suicidology,suicidological
533,ical,Sumerology,Sumerological
534,ical,symbiology,symbiological
535,ical,symbol,symbolical
536,ical,symptomatology,symptomatological
537,ical,symptomology,symptomological
538,ical,syndesmology,syndesmological
539,ical,synecdoche,synecdochical
540,ical,synecology,synecological
541,ical,synonym,synonymical
542,ical,syphilology,syphilological
543,ical,systematology,systematological
544,ical,system,systemical
545,ical,tautology,tautological
546,ical,taxology,taxological
547,ical,technography,technographical
548,ical,technology,technological
549,ical,tectology,tectological
550,ical,tektology,tektological
551,ical,telegraph,telegraphical
552,ical,teleology,teleological
553,ical,teratology,teratological
554,ical,terminology,terminological
555,ical,terrorist,terroristical
556,ical,thanatology,thanatological
557,ical,thaumatology,thaumatological
558,ical,thealogy,thealogical
559,ical,thematology,thematological
560,ical,theology,theological
561,ical,theriogenology,theriogenological
562,ical,theurgy,theurgical
563,ical,Tibetology,Tibetological
564,ical,tidology,tidological
565,ical,timbre,timbrical
566,ical,tonology,tonological
567,ical,toparchy,toparchical
568,ical,totem,totemical
569,ical,traceology,traceological
570,ical,transitology,transitological
571,ical,translatology,translatological
572,ical,tribology,tribological
573,ical,triptote,triptotical
574,ical,trophology,trophological
575,ical,Tungusology,Tungusological
576,ical,twist,twistical
577,ical,typology,typological
578,ical,typtology,typtological
579,ical,umpire,umpirical
580,ical,universology,universological
581,ical,uranography,uranographical
582,ical,uranology,uranological
583,ical,urbanology,urbanological
584,ical,urology,urological
585,ical,vaccinology,vaccinological
586,ical,vampire,vampirical
587,ical,vampirology,vampirological
588,ical,vates,vatical
589,ical,vexillology,vexillological
590,ical,victimology,victimological
591,ical,virology,virological
592,ical,vitriol,vitriolical
593,ical,volcanology,volcanological
594,ical,vulcanology,vulcanological
595,ical,whimsy,whimsical
596,ical,xylology,xylological
597,ical,zealot,zealotical
598,ical,zooarchaeology,zooarchaeological
599,ical,zooarcheology,zooarcheological
600,ical,zoography,zoographical
601,ical,zoology,zoological
602,ical,zoophyte,zoophytical
603,ical,zootomy,zootomical
604,ical,zymology,zymological
606,able,abandon,abandonable
607,able,abate,abatable
608,able,abdicate,abdicable
609,able,abhor,abhorrable
610,able,abide,abidable
611,able,abide,abideable
612,able,ablate,ablatable
613,able,abolish,abolishable
614,able,abort,abortable
615,able,abrade,abradable
616,able,abridge,abridgable
617,able,absolutize,absolutizable
618,able,absolve,absolvable
619,able,absorb,absorbable
620,able,abstract,abstractable
621,able,abuse,abusable
622,able,accelerate,acceleratable
623,able,accentuate,accentuable
624,able,acclaim,acclaimable
625,able,acclimate,acclimatable
626,able,acclimatize,acclimatizable
627,able,accommodate,accommodatable
628,able,accompany,accompanable
629,able,accompany,accompaniable
